Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Roll,Yaw
1503614249227,+0.168,+0.216,-0.469,-0.840,+0.890,-0.211,-0.425,-2.188,-0.375,-0.062,-3, -1, -1, -2, -2, -1, -1, -2,-0.5182559946094278,1.0737771631948387
1503614249242,+0.168,+0.216,-0.469,-0.840,+0.886,-0.215,-0.418,-2.375,-0.188,+0.062,1, 1, 2, 2, -1, 0, -1, -1,-0.5182559946094278,1.0737771631948387
1503614249270,+0.168,+0.215,-0.469,-0.840,+0.895,-0.213,-0.422,-2.750,-0.562,+0.062,0, -1, -1, 1, 0, -3, -1, -1,-0.5169875928450047,1.072839615312239
1503614249286,+0.167,+0.215,-0.469,-0.840,+0.889,-0.214,-0.424,-2.625,-0.062,+0.188,-1, -1, -1, -3, -2, 2, 1, -1,-0.5151571976786282,1.0726297593733056
1503614249302,+0.167,+0.215,-0.469,-0.840,+0.895,-0.212,-0.420,-2.250,-0.375,+0.000,-3, -3, -1, -2, 0, 0, 0, 0,-0.5151571976786282,1.0726297593733056
1503614249318,+0.167,+0.214,-0.469,-0.840,+0.891,-0.213,-0.425,-2.062,-0.500,-0.062,-2, -1, -1, -1, -2, 0, 0, -3,-0.513891764659191,1.071696664209538
1503614249340,+0.167,+0.214,-0.469,-0.840,+0.892,-0.210,-0.425,-1.875,-0.188,-0.188,-3, -3, 0, -1, 1, 0, 0, 1,-0.513891764659191,1.071696664209538
1503614249362,+0.166,+0.214,-0.469,-0.841,+0.899,-0.207,-0.428,-1.750,-0.938,-0.062,-1, -2, 1, 0, -2, -1, -1, -2,-0.5123583011314093,1.0719459423655981
1503614249378,+0.166,+0.214,-0.469,-0.841,+0.892,-0.212,-0.428,-1.250,-0.875,+0.062,0, -1, -1, -2, -1, -1, -1, 4,-0.5123583011314093,1.0719459423655981
1503614249400,+0.166,+0.214,-0.469,-0.841,+0.889,-0.214,-0.422,-1.062,-1.500,-0.062,0, 1, 0, -2, 0, -1, -2, -2,-0.5123583011314093,1.0719459423655981
1503614249422,+0.166,+0.213,-0.469,-0.841,+0.888,-0.212,-0.424,-1.312,-1.625,-0.062,1, 1, -1, 0, 0, -2, -2, -2,-0.5110959519512811,1.0710180309240784
1503614249438,+0.166,+0.213,-0.469,-0.841,+0.887,-0.212,-0.418,-1.438,-0.938,+0.188,0, -3, -2, 1, -1, 0, 1, -1,-0.5110959519512811,1.0710180309240784
1503614249460,+0.165,+0.213,-0.469,-0.841,+0.894,-0.212,-0.430,-1.500,-1.375,-0.062,-1, 0, -1, 1, -1, 0, -1, -1,-0.5092667704502776,1.070809496576117
1503614249482,+0.165,+0.213,-0.469,-0.841,+0.891,-0.208,-0.429,-1.438,-2.062,-0.062,-1, 0, 1, 1, -1, 1, -2, 0,-0.5092667704502776,1.070809496576117
1503614249498,+0.165,+0.213,-0.468,-0.842,+0.885,-0.206,-0.432,-1.062,-2.125,-0.125,-1, -1, -1, -1, 0, -3, -2, -1,-0.5091811551138368,1.0687647876587796
1503614249520,+0.165,+0.212,-0.468,-0.842,+0.883,-0.207,-0.429,-0.562,-1.312,+0.438,-1, 0, 0, 0, 0, -2, -3, 0,-0.5079235047159549,1.06784181659341
1503614249542,+0.165,+0.212,-0.468,-0.842,+0.884,-0.208,-0.434,-0.250,-0.250,+0.625,-3, 0, -1, -1, 0, 0, 0, -2,-0.5079235047159549,1.06784181659341
1503614249558,+0.165,+0.212,-0.468,-0.842,+0.885,-0.212,-0.427,-0.500,+0.500,+1.000,-1, 1, 0, 1, -1, -2, -3, -1,-0.5079235047159549,1.06784181659341
1503614249580,+0.164,+0.213,-0.469,-0.842,+0.891,-0.221,-0.417,-0.625,+1.875,+1.312,3, 2, 0, -2, -2, 0, 1, 0,-0.5077314985890179,1.0710601100927835
