Timestamp,Orientation X,Orientation Y,Orientation Z,Orientation W,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Roll,Yaw
1503618082276,-0.240,-0.250,+0.429,+0.834,+0.851,-0.239,-0.441,-6.375,-6.000,-9.625,-10, 0, -3, 7, 22, -3, 0, -1,-0.6803174965206343,1.0254855007205534
1503618082298,-0.241,-0.247,+0.429,+0.835,+0.874,-0.231,-0.459,-9.875,-9.062,-13.250,4, 14, 16, -2, 4, 0, -2, 1,-0.6786824002728624,1.0228341108241705
1503618082321,-0.244,-0.244,+0.428,+0.835,+0.862,-0.205,-0.461,-9.125,-12.938,-20.312,1, 13, -2, 3, -6, -3, -6, -8,-0.6802066854413105,1.0178961168133809
1503618082336,-0.246,-0.241,+0.428,+0.836,+0.856,-0.225,-0.450,-14.438,-11.938,-21.750,-3, -8, -23, -18, -2, -4, -3, 4,-0.6805991332419098,1.0155638588484104
1503618082358,-0.249,-0.237,+0.428,+0.836,+0.862,-0.179,-0.465,-16.938,-13.688,-20.625,24, 2, 4, 3, -11, -1, 2, 4,-0.6813110371991676,1.0119660831473587
1503618082386,-0.250,-0.232,+0.427,+0.837,+0.893,-0.191,-0.467,-21.500,-16.875,-19.250,0, -13, 11, 27, 12, 2, 3, 6,-0.6769194898533629,1.0049205580360046
1503618082396,-0.253,-0.226,+0.426,+0.838,+0.843,-0.137,-0.505,-20.750,-18.188,-21.188,0, -3, -4, -11, -1, 5, 7, -5,-0.6753078041699387,0.9974140878287189
1503618082420,-0.256,-0.221,+0.425,+0.840,+0.849,-0.162,-0.479,-19.688,-21.250,-23.312,-3, 16, 5, -4, -2, 4, -6, -14,-0.6754783056910828,0.9915206511555233
1503618082441,-0.257,-0.216,+0.424,+0.841,+0.817,-0.166,-0.522,-25.750,-14.000,-18.812,-7, -14, -1, -5, 0, -1, -5, 3,-0.6714022108999647,0.9847495091696247
1503618082457,-0.259,-0.210,+0.425,+0.842,+0.843,-0.088,-0.546,-23.000,-10.750,-21.875,-5, -10, -3, -4, 14, 3, 5, 14,-0.6688684569823086,0.9820411790060568
